id,name,countryid,phone_number,Email
979,קסמיאן קסינגשנג פודסטטפס,33,0534212585,0534212585@super.student.com
980,קפה אל נח'לה,10,0557912754,0557912754@super.student.com
981,"קפה לנדוור בע""\מ",10,0514429071,0514429071@super.student.com
982,קרליין,10,0543937566,0543937566@super.student.com
983,קרלסברג ישראל,7,0517952117,0517952117@super.student.com
984,"קרלסרו, גרמניה",2,0537652134,0537652134@super.student.com
985,ר.ס-.חברה ליבוא וייצור מ,10,0541821508,0541821508@super.student.com
986,ראוך פרוכטסאפטה,15,0501739445,0501739445@super.student.com
987,רבר,2,0517655891,0517655891@super.student.com
988,רד בול,16,0503806940,0503806940@super.student.com
989,רד בול ג'\י.אם.בי. אץ'\,16,0523428838,0523428838@super.student.com
990,רומו,3,0553885475,0553885475@super.student.com
991,רוני רג'ואן ושות,10,0566964486,0566964486@super.student.com
992,רוקחמן,10,0517355967,0517355967@super.student.com
993,"רושדי תעשיות מזון בע""\מ",10,0515083011,0515083011@super.student.com
994,ריגלי,28,0583373517,0583373517@super.student.com
995,ריגלי ממתקים,27,0549349737,0549349737@super.student.com
996,ריגלי פולין,9,0503283346,0503283346@super.student.com
997,ריגלי צרפת,6,0525235952,0525235952@super.student.com
998,ריין דיג'ון,6,0556932979,0556932979@super.student.com
999,ריינולדס,18,0543603045,0543603045@super.student.com
1000,רמיה סי.וי.הולנד,4,0506061051,0506061051@super.student.com
1001,רנקסן,14,0541732573,0541732573@super.student.com
1002,רפאלס,10,0565369439,0565369439@super.student.com
1003,רקיט בנקיזר,33,0515426188,0515426188@super.student.com
1004,"ש. שוורץ )באר שבע( בע""\מ",10,0589772628,0589772628@super.student.com
1005,"ש. שסטוביץ בע""\מ",26,0511844248,0511844248@super.student.com
1006,ש.שוורץ,10,0571087071,0571087071@super.student.com
1007,ש.שסטוביץ,10,0544056119,0544056119@super.student.com
1008,שגב,10,0524282626,0524282626@super.student.com
1009,"שגמור בע""מ",10,0588864838,0588864838@super.student.com
1010,"שוגארט בע""מ",10,0533888287,0533888287@super.student.com
1011,שולן צ'\יקולטה גידה סאן.,14,0533093921,0533093921@super.student.com
1012,שונות,45,0575789917,0575789917@super.student.com
1013,שופרסל,37,0511163145,0511163145@super.student.com
1014,שופרסל-ייבוא,3,0565990516,0565990516@super.student.com
1015,"שוקולד פריי בע""מ",1,0554351501,0554351501@super.student.com
1016,שותפות מזרחי,10,0501763891,0501763891@super.student.com
1017,שטורק,2,0523350425,0523350425@super.student.com
1018,שטיבל,10,0532783056,0532783056@super.student.com
1019,"שטיבל בע""\מ - טחנות קמח",10,0574724243,0574724243@super.student.com
1020,"שטיבל בע""מ",10,0551713122,0551713122@super.student.com
1021,"שטיבל בע""מ - טחנת קמח",10,0538031137,0538031137@super.student.com
1022,שטראוס,14,0562173507,0562173507@super.student.com
1023,"שטראוס בריאות בע""\מ",10,0555016404,0555016404@super.student.com
1024,שטראוס גרופ,10,0543750129,0543750129@super.student.com
1025,"שטראוס גרופ בע""\מ",10,0588104810,0588104810@super.student.com
1026,"שטראוס פריטו ליי  בע""\מ",10,0513240239,0513240239@super.student.com
1027,"שטראוס פריטו ליי בע""\מ )",10,0576621261,0576621261@super.student.com
1028,"שטראוס פריטו ליי בע""מ )פ",10,0546641823,0546641823@super.student.com
1029,שטראוס קפה בי.וי,10,0553603285,0553603285@super.student.com
1030,שטראוס קפה בי.וי.,10,0548686016,0548686016@super.student.com
1031,שטראוס קפה בי.ויn\.,10,0556604756,0556604756@super.student.com
1032,שיבולים בני דרום,10,0512316224,0512316224@super.student.com
1033,שיבס ריגל,5,0512565452,0512565452@super.student.com
1034,שיק,33,0549897576,0549897576@super.student.com
1035,שלושת האופים,10,0532964895,0532964895@super.student.com
1036,שמן זית אליעד,10,0573254815,0573254815@super.student.com
1037,שמן תעשיות,10,0588157442,0588157442@super.student.com
1038,שמן תעשיות בעמ,10,0528698068,0528698068@super.student.com
1039,שנגחאי פינק פוד קומפני,33,0541846314,0541846314@super.student.com
1040,שניב,10,0571797365,0571797365@super.student.com
1041,שניב תעשיות נייר,10,0578533112,0578533112@super.student.com
1042,שקדיה,10,0561952859,0561952859@super.student.com
1043,שקרצי,10,0535306315,0535306315@super.student.com
1044,ששון,13,0522244260,0522244260@super.student.com
1045,ששון ושות,18,0563884120,0563884120@super.student.com
1046,תאי גריפטק קו,22,0538599947,0538599947@super.student.com
1047,תאי פרידה אינדסטרי,22,0512441911,0512441911@super.student.com
1048,תאיט מרקטינג אנד דיסטריב,17,0534996789,0534996789@super.student.com
1049,תבינה אס.פי.אי,10,0509961797,0509961797@super.student.com
1050,תבליני ביטון יוחאי,10,0579303052,0579303052@super.student.com
1051,תבליני טעם וריח,10,0526101816,0526101816@super.student.com
1052,"תבליני טעם וריח בע""\מ",10,0505207052,0505207052@super.student.com
1053,תה ויסוצקי,10,0528017653,0528017653@super.student.com
1054,תומר,15,0516471942,0516471942@super.student.com
1055,תות תעשיות מזון (2014) ב,10,0545808021,0545808021@super.student.com
1056,תחנת קמח המפרץ,10,0527104939,0527104939@super.student.com
1057,תמר כנרת,10,0551721657,0551721657@super.student.com
1058,תנובה,10,0544767036,0544767036@super.student.com
1059,"תנובה בע""\מ",10,0543078774,0543078774@super.student.com
1060,תנובה בעמ,10,0556593388,0556593388@super.student.com
1061,תנובה גליל שותפות מוגבלת,10,0517565419,0517565419@super.student.com
1062,תעש' מזון יבנה,10,0523402467,0523402467@super.student.com
1063,תעשיות מלח לישראל,10,0545558111,0545558111@super.student.com
1064,תעשיות פילטונה,10,0512981912,0512981912@super.student.com
1065,"תעשיות תפוגן בע""\מ",10,0556633346,0556633346@super.student.com
1066,תפוגן,10,0519196361,0519196361@super.student.com
